Entity,Code,Year,Cancer Type,"Age-standardized deaths in both sexes per 100,000 people"
Malaysia,MYS,2009,testicular cancer,0.04142194
Malaysia,MYS,2009,"trachea, bronchus, lung cancers",7.8176913
Malaysia,MYS,2009,mouth and oropharynx cancers,2.2262616
Malaysia,MYS,2009,ovary cancer,1.1127665
Malaysia,MYS,2009,larynx cancer,0.26222202
Malaysia,MYS,2009,gallbladder and biliary tract cancer,0.32802445
Malaysia,MYS,2009,cervix uteri cancer,1.1820614
Malaysia,MYS,2009,stomach cancer,1.6705972
Malaysia,MYS,2009,brain and nervous system cancers,0.37171304
Malaysia,MYS,2009,liver cancer,3.42536
Malaysia,MYS,2010,bladder cancer,0.647982
Malaysia,MYS,2010,colon and rectum cancers,3.9534104
Malaysia,MYS,2010,pancreas cancer,1.4456645
Malaysia,MYS,2010,breast cancer,3.726247
Malaysia,MYS,2010,corpus uteri cancer,0.44688374
Malaysia,MYS,2010,kidney cancer,0.6079365
Malaysia,MYS,2010,oesophagus cancer,0.6354889
Malaysia,MYS,2010,melanoma and other,0.3161539
Malaysia,MYS,2010,prostate cancer,0.8631042
Malaysia,MYS,2010,thyroid cancer,0.3915771
Malaysia,MYS,2010,testicular cancer,0.04510488
Malaysia,MYS,2010,"trachea, bronchus, lung cancers",7.6453733
Malaysia,MYS,2010,mouth and oropharynx cancers,2.1105251
Malaysia,MYS,2010,ovary cancer,0.98847
Malaysia,MYS,2010,larynx cancer,0.3082339
Malaysia,MYS,2010,gallbladder and biliary tract cancer,0.3584547
Malaysia,MYS,2010,cervix uteri cancer,1.0180736
Malaysia,MYS,2010,stomach cancer,1.5902206
Malaysia,MYS,2010,brain and nervous system cancers,0.44744563
Malaysia,MYS,2010,liver cancer,3.484681
Malaysia,MYS,2011,bladder cancer,0.5814147
Malaysia,MYS,2011,colon and rectum cancers,4.0716853
Malaysia,MYS,2011,pancreas cancer,1.3571199
Malaysia,MYS,2011,breast cancer,3.7936337
Malaysia,MYS,2011,corpus uteri cancer,0.52313495
Malaysia,MYS,2011,kidney cancer,0.53851587
Malaysia,MYS,2011,oesophagus cancer,0.51725817
Malaysia,MYS,2011,melanoma and other,0.33178222
Malaysia,MYS,2011,prostate cancer,0.9652074
Malaysia,MYS,2011,thyroid cancer,0.37934884
Malaysia,MYS,2011,testicular cancer,0.05621947
Malaysia,MYS,2011,"trachea, bronchus, lung cancers",7.65738
Malaysia,MYS,2011,mouth and oropharynx cancers,2.1608512
Malaysia,MYS,2011,ovary cancer,1.0693704
Malaysia,MYS,2011,larynx cancer,0.26916447
Malaysia,MYS,2011,gallbladder and biliary tract cancer,0.37347174
Malaysia,MYS,2011,cervix uteri cancer,1.0901127
Malaysia,MYS,2011,stomach cancer,1.7775038
Malaysia,MYS,2011,brain and nervous system cancers,0.4943088
Malaysia,MYS,2011,liver cancer,3.7939296
Malaysia,MYS,2012,bladder cancer,0.48868525
Malaysia,MYS,2012,colon and rectum cancers,4.22591
Malaysia,MYS,2012,pancreas cancer,1.3192651
Malaysia,MYS,2012,breast cancer,3.9500022
Malaysia,MYS,2012,corpus uteri cancer,0.51104885
Malaysia,MYS,2012,kidney cancer,0.5340616
Malaysia,MYS,2012,oesophagus cancer,0.5524429
Malaysia,MYS,2012,melanoma and other,0.3566204
Malaysia,MYS,2012,prostate cancer,0.91795385
Malaysia,MYS,2012,thyroid cancer,0
Malaysia,MYS,2012,testicular cancer,0.06847457
Malaysia,MYS,2012,"trachea, bronchus, lung cancers",7.778577
Malaysia,MYS,2012,mouth and oropharynx cancers,1.7528834
Malaysia,MYS,2012,ovary cancer,1.0787294
Malaysia,MYS,2012,larynx cancer,0.2749723
Malaysia,MYS,2012,gallbladder and biliary tract cancer,0.32644865
Malaysia,MYS,2012,cervix uteri cancer,1.0421776
